,followers,genres,href,id,name,popularity,uri
9471,"{'href': None, 'total': 214}",[],https://api.spotify.com/v1/artists/6RQB9Wd9F1y7dCJC178hZR,6RQB9Wd9F1y7dCJC178hZR,Para Doc,0,spotify:artist:6RQB9Wd9F1y7dCJC178hZR
9472,"{'href': None, 'total': 1058}",[],https://api.spotify.com/v1/artists/5JHp0iTt1djzZRCxWVnTl1,5JHp0iTt1djzZRCxWVnTl1,Chris Lawrence,4,spotify:artist:5JHp0iTt1djzZRCxWVnTl1
9473,"{'href': None, 'total': 176932}",['norwegian pop'],https://api.spotify.com/v1/artists/4CTKqs11Zgsv8EZTVzx764,4CTKqs11Zgsv8EZTVzx764,Lemaitre,47,spotify:artist:4CTKqs11Zgsv8EZTVzx764
9474,"{'href': None, 'total': 42579}","['canadian contemporary country', 'canadian country']",https://api.spotify.com/v1/artists/05kfnkzu8HdqnCdHHkJeci,05kfnkzu8HdqnCdHHkJeci,Tim Hicks,43,spotify:artist:05kfnkzu8HdqnCdHHkJeci
9475,"{'href': None, 'total': 143235}","['canadian contemporary country', 'canadian country']",https://api.spotify.com/v1/artists/54lUDwCk35ihJuK3yJCqHA,54lUDwCk35ihJuK3yJCqHA,James Barker Band,45,spotify:artist:54lUDwCk35ihJuK3yJCqHA
9476,"{'href': None, 'total': 3913}",[],https://api.spotify.com/v1/artists/1qhDoPY1tOHZzwXOnj2cE6,1qhDoPY1tOHZzwXOnj2cE6,Sister C,23,spotify:artist:1qhDoPY1tOHZzwXOnj2cE6
9477,"{'href': None, 'total': 5961}","['folk-pop', 'modern folk rock']",https://api.spotify.com/v1/artists/7uRgKJfoqXp05a5OKhpEXS,7uRgKJfoqXp05a5OKhpEXS,Laney Jones,30,spotify:artist:7uRgKJfoqXp05a5OKhpEXS
9478,"{'href': None, 'total': 17998}",['sky room'],https://api.spotify.com/v1/artists/5DzNxD4vwCDEIa20oEzB9l,5DzNxD4vwCDEIa20oEzB9l,Crystal Lake,40,spotify:artist:5DzNxD4vwCDEIa20oEzB9l
9479,"{'href': None, 'total': 15160}",[],https://api.spotify.com/v1/artists/2AoeqcUs8DySgZRJ9yV4Ou,2AoeqcUs8DySgZRJ9yV4Ou,Bright Lights,44,spotify:artist:2AoeqcUs8DySgZRJ9yV4Ou
9480,"{'href': None, 'total': 1084}",[],https://api.spotify.com/v1/artists/2QKVoUe1JGWeRmU94NjiY5,2QKVoUe1JGWeRmU94NjiY5,The Dighit Brothers,2,spotify:artist:2QKVoUe1JGWeRmU94NjiY5
9481,"{'href': None, 'total': 66287}",['tropical house'],https://api.spotify.com/v1/artists/721T2PETMLaAkijbYu05VD,721T2PETMLaAkijbYu05VD,Junge Junge,43,spotify:artist:721T2PETMLaAkijbYu05VD
9482,"{'href': None, 'total': 449303}","['country rap', 'military rap', 'nashville hip hop']",https://api.spotify.com/v1/artists/1Cv4OTcRrMvpUqKQftW88M,1Cv4OTcRrMvpUqKQftW88M,Haystak,43,spotify:artist:1Cv4OTcRrMvpUqKQftW88M
9483,"{'href': None, 'total': 40663}","['classic oklahoma country', 'contemporary country', 'country pop', 'modern country rock']",https://api.spotify.com/v1/artists/1nf0nRF0W4ybnJdda00pKY,1nf0nRF0W4ybnJdda00pKY,The Swon Brothers,28,spotify:artist:1nf0nRF0W4ybnJdda00pKY
9484,"{'href': None, 'total': 35974}","['nz folk', 'waiata maori', 'waiata mo tamariki']",https://api.spotify.com/v1/artists/6YNeVWrhrAjUEkDWn9TRrl,6YNeVWrhrAjUEkDWn9TRrl,Maisey Rika,39,spotify:artist:6YNeVWrhrAjUEkDWn9TRrl
